Delivery_person_Age,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance (in km)
36.0,Fog,Jam,2,motorcycle,3.0,No,Metropolitian,46,10.27146402322959
21.0,Stormy,High,1,motorcycle,1.0,No,Metropolitian,23,6.229376076976494
23.0,Sandstorms,Medium,1,scooter,1.0,No,Metropolitian,21,13.764305929575334
34.0,Sandstorms,Low,0,motorcycle,0.0,No,Metropolitian,20,2.9277947281095997
24.0,Fog,Jam,1,scooter,1.0,No,Metropolitian,41,19.373484088636204
29.0,Sandstorms,Jam,2,electric_scooter,1.0,No,Metropolitian,20,13.74093223440384
35.0,Windy,High,1,scooter,1.0,No,Metropolitian,33,6.205589948339296
33.0,Sandstorms,Jam,2,motorcycle,1.0,No,Metropolitian,40,16.821191645783845
34.0,Cloudy,Jam,0,motorcycle,,No,Metropolitian,41,10.738078032534391
21.0,Windy,Jam,0,motorcycle,1.0,No,Urban,15,4.533895591762032
25.0,Sandstorms,Jam,0,motorcycle,2.0,No,Metropolitian,36,12.235136123611104
31.0,Sandstorms,Low,2,electric_scooter,0.0,No,Metropolitian,26,19.590994221235693
37.0,Sandstorms,Low,1,motorcycle,1.0,No,Metropolitian,20,1.5549501809798034
33.0,Windy,Jam,2,scooter,1.0,No,Metropolitian,39,20.140905255245308
25.0,Cloudy,High,1,motorcycle,1.0,No,Metropolitian,34,6.106736943461254
29.0,Sunny,Medium,2,electric_scooter,1.0,No,Metropolitian,15,17.04198395713103
27.0,Stormy,Jam,0,motorcycle,0.0,No,Urban,18,4.465068381023686
35.0,Cloudy,Low,1,scooter,0.0,No,Metropolitian,38,13.66073757837138
32.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,47,13.94563444308926
23.0,Windy,Low,2,electric_scooter,0.0,No,Urban,12,16.82479191121949
31.0,Sandstorms,Low,2,motorcycle,1.0,No,Metropolitian,26,4.664630782216606
36.0,Stormy,Low,0,motorcycle,1.0,No,Urban,22,7.589769422472331
