Delivery_person_Age,Weather_conditions,Road_traffic_density,Vehicle_condition,Type_of_vehicle,multiple_deliveries,Festival,City,Time_taken (min),distance (in km)
20.0,Windy,Medium,0,motorcycle,1.0,No,Metropolitian,30,16.69518872988874
24.0,Stormy,Jam,2,motorcycle,1.0,No,Metropolitian,22,13.743515685221775
28.0,Sandstorms,Jam,1,scooter,0.0,No,Metropolitian,18,12.392704620939153
35.0,Fog,Medium,2,scooter,0.0,No,Metropolitian,15,9.043276670143742
23.0,Sunny,Jam,1,motorcycle,0.0,No,Metropolitian,14,12.32785472713001
35.0,Fog,High,1,scooter,2.0,No,Metropolitian,36,6.229144149399445
26.0,Cloudy,Medium,2,scooter,1.0,No,Metropolitian,37,19.940435790617883
30.0,Sandstorms,Low,0,motorcycle,1.0,No,Metropolitian,26,20.212460530271784
30.0,Cloudy,High,0,motorcycle,1.0,No,Metropolitian,25,6.07172832874903
30.0,Fog,Jam,2,motorcycle,2.0,Yes,Metropolitian,47,11.891277192207232
31.0,Sunny,Jam,2,motorcycle,2.0,No,Metropolitian,34,12.395333516408236
25.0,Stormy,Low,0,motorcycle,1.0,No,Metropolitian,21,4.521130413570204
21.0,Sandstorms,Jam,1,scooter,1.0,No,Urban,25,9.32946504329119
32.0,Fog,High,0,motorcycle,1.0,No,Metropolitian,34,1.4880023638890556
35.0,Cloudy,Low,0,motorcycle,1.0,No,Metropolitian,22,9.34425441608349
26.0,Cloudy,High,2,scooter,0.0,No,Urban,28,6.197867124953263
37.0,Sandstorms,Medium,0,motorcycle,1.0,No,Urban,48,16.69539736717666
39.0,Sandstorms,Jam,0,motorcycle,1.0,No,Metropolitian,36,7.589156442701957
25.0,Fog,Medium,1,scooter,1.0,No,Metropolitian,35,13.941533701364968
36.0,Stormy,High,2,scooter,1.0,No,Metropolitian,31,3.11465272896848
22.0,Windy,Jam,0,motorcycle,2.0,No,Metropolitian,39,12.189969586213813
20.0,Cloudy,Low,0,motorcycle,1.0,No,Urban,16,1.5272284258837883
23.0,Sunny,Low,1,scooter,0.0,No,Urban,18,3.1380694073889375
38.0,Stormy,Low,0,motorcycle,1.0,No,Urban,33,1.5690347154047222
28.0,Windy,Jam,1,scooter,1.0,No,Urban,22,13.659636883890228
31.0,Sandstorms,Jam,1,motorcycle,1.0,No,Metropolitian,35,13.564225848681398
34.0,Sunny,Jam,2,motorcycle,1.0,No,Urban,23,9.177783656275798
34.0,Stormy,Low,2,scooter,1.0,No,Metropolitian,24,1.5410411496240586
21.0,Sunny,Low,0,motorcycle,0.0,No,Urban,13,3.0145482561366026
38.0,Sandstorms,Low,2,electric_scooter,1.0,No,Metropolitian,22,19.59009856812415
35.0,Fog,Low,1,scooter,1.0,No,Metropolitian,30,16.760379276055943
28.0,Fog,Low,0,motorcycle,1.0,No,Metropolitian,21,1.496206479242767
33.0,Windy,Jam,0,motorcycle,1.0,No,Metropolitian,43,14.015622658003666
